代码,简称,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来
010202,天弘中证科技100指数增强发起A,1.1278,1.1278,1.66%,2.6%,-0.4%,2.7%,20.34%,25.65%,4.01%,-7.78%,1.81%,12.78%
016123,华富中证科创创业50指数增强C,0.8695,0.8695,1.06%,1.81%,-2%,-0.32%,22.45%,25.63%,-16.35%,,0.54%,-13.05%
014202,天弘中证1000指数增强C,1.0271,1.0271,1.22%,1.26%,-2.32%,4.21%,31.31%,25.44%,2.87%,5.5%,0.8%,2.71%
003957,安信量化精选沪深300增强A,1.5712,1.5712,1.05%,0.24%,-1.9%,1.77%,17.41%,25.35%,1.72%,-10.36%,-1.26%,57.12%
017892,鹏华国证2000指数增强A,1.0784,1.0784,1.61%,2.25%,0.84%,12.2%,39.44%,25.31%,,,2.82%,7.84%
010203,天弘中证科技100指数增强发起C,1.1135,1.1135,1.65%,2.59%,-0.43%,2.61%,20.14%,25.27%,3.39%,-8.61%,1.78%,11.35%
017094,易方达中证1000量化增强A,1.0256,1.0256,1.93%,2.23%,-1.58%,6.62%,34.59%,25.26%,,,1.55%,2.56%
003958,安信量化精选沪深300增强C,1.5407,1.5407,1.05%,0.24%,-1.92%,1.73%,17.3%,25.1%,1.32%,-10.9%,-1.28%,54.07%
016785,鹏华中证1000指数增强A,1.1052,1.1052,1.7%,1.87%,-0.3%,9.87%,32.34%,24.99%,4.61%,,1.44%,10.52%
161037,富国中证高端制造指数增强型(LOF)A,1.7087,1.7087,1.3%,1.97%,-0.86%,2.87%,21.23%,24.95%,-5.49%,-20.04%,0.8%,70.87%
019993,创金合信北证50成份指数增强A,1.2459,1.2459,0.52%,-3.34%,-4.71%,-10.67%,55.8%,24.89%,,,3.9%,24.59%
017893,鹏华国证2000指数增强C,1.0701,1.0701,1.61%,2.24%,0.81%,12.1%,39.15%,24.81%,,,2.8%,7.01%
017095,易方达中证1000量化增强C,1.0184,1.0184,1.92%,2.23%,-1.62%,6.5%,34.32%,24.76%,,,1.53%,1.84%
