代码,简称,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来
016866,华泰紫金中证500指数增强发起C,0.9509,0.9509,1.1%,0.91%,-2.54%,-0.03%,19.64%,19.46%,,,-0.52%,-4.91%
017733,中金中证1000指数增强发起A,0.9755,0.9755,1.64%,1.91%,-1.62%,4.5%,26.36%,19.46%,,,0.92%,-2.45%
001050,汇添富中证500指数增强A,1.5966,1.8616,1.04%,0.88%,-3.3%,-0.14%,18.49%,19.45%,4.49%,-1.87%,-1.67%,87.05%
005287,海富通创业板增强C,1.1793,1.4689,1.68%,2.94%,-1.46%,0.95%,23.11%,19.45%,-12.12%,-25.1%,1.58%,49.13%
004195,招商中证1000指数增强C,1.5123,1.5123,1.47%,1.22%,-3.19%,4.05%,26.71%,19.38%,-1.14%,-1.94%,0.05%,51.23%
001397,建信精工制造指数增强,1.7495,1.7495,0.91%,1.21%,-2.88%,-0.89%,13.56%,19.35%,-8.5%,-12.43%,-1.63%,74.95%
014345,鹏华中证500指数增强C,1.0159,1.0159,1.05%,0.83%,-1.36%,3.12%,20.44%,19.22%,3.21%,2.1%,0.55%,1.59%
011630,东财有色增强A,1.2243,1.2243,0.91%,-0.69%,2.16%,-3.4%,9.72%,19.14%,-9.75%,-13.29%,5.07%,22.43%
017445,摩根沪深300指数增强发起式A,0.9637,0.9637,0.7%,0.73%,-3.08%,-1.6%,13.35%,19.03%,-8.52%,,-2%,-3.63%
017734,中金中证1000指数增强发起C,0.9683,0.9683,1.63%,1.9%,-1.66%,4.4%,26.11%,18.99%,,,0.9%,-3.17%
016854,汇添富中证500指数增强C,1.5811,1.8461,1.04%,0.88%,-3.33%,-0.24%,18.26%,18.97%,3.64%,,-1.69%,10.36%
010673,兴全中证800六个月持有指数A,1.0447,1.0447,1.03%,0.86%,-3.63%,-0.72%,16.73%,18.95%,6.82%,1.32%,-2.59%,4.47%
017919,中欧中证1000指数增强A,0.9756,0.9756,1.35%,1.06%,-3.21%,3.3%,28.03%,18.93%,,,-0.69%,-2.44%
007580,宝盈中证A100指数增强C,1.63,1.956,0.74%,0.62%,-2.86%,-2.04%,12.1%,18.89%,-4.57%,-14.14%,-1.87%,24.65%
020220,国联安沪深300指数增强A,1.1889,1.1889,0.72%,0.91%,-2.29%,-0.06%,15.36%,18.89%,,,-1.51%,18.89%
012080,易方达中证500指数量化增强A,0.9061,0.9061,0.98%,1.12%,-2.33%,-0.06%,19.81%,18.85%,-1.44%,-7.59%,-0.11%,-9.39%
014623,中银MSCI中国A50互联互通指数增强A,1.1662,1.1662,0.55%,0.78%,-3.46%,-3.67%,5.25%,18.82%,,,-2.56%,16.62%
011631,东财有色增强C,1.2102,1.2102,0.9%,-0.7%,2.14%,-3.48%,9.55%,18.79%,-10.3%,-14.07%,5.05%,21.02%
005248,新华沪深300指数增强A,1.2184,1.2184,0.79%,0.7%,-2.49%,-1.48%,11.63%,18.78%,-2.18%,-13.55%,-1.76%,21.84%
003015,中金沪深300A,1.6434,1.6434,0.72%,1.01%,-2.57%,-1.27%,10.99%,18.76%,-0.17%,-9.02%,-1.55%,64.34%
017446,摩根沪深300指数增强发起式C,0.9579,0.9579,0.71%,0.74%,-3.1%,-1.67%,13.19%,18.68%,-9.06%,,-2.02%,-4.21%
020221,国联安沪深300指数增强C,1.1865,1.1865,0.72%,0.9%,-2.31%,-0.11%,15.25%,18.65%,,,-1.52%,18.65%
005994,国投瑞银中证500指数量化增强A,2.0313,2.0313,1.1%,1.03%,-2.36%,0.47%,20.1%,18.64%,-3.29%,-12.82%,-0.49%,103.13%
000312,华安沪深300增强A,2.0288,2.3888,0.98%,0.77%,-3.02%,-2.29%,10.91%,18.62%,-8.76%,-17.48%,-1.79%,149.15%
010908,大成沪深300增强发起式A,0.819,0.819,0.7%,-0.43%,-2.78%,-0.74%,10.01%,18.58%,-1.69%,-11.63%,-2.05%,-18.1%
007806,建信MSCI中国A股指数增强A,1.1574,1.4184,0.7%,1.08%,-2.99%,-1.34%,14.18%,18.57%,-5.37%,-12.08%,-1.91%,42.71%
012081,易方达中证500指数量化增强C,0.8963,0.8963,0.98%,1.11%,-2.36%,-0.14%,19.62%,18.48%,-2.03%,-8.42%,-0.13%,-10.37%
010674,兴全中证800六个月持有指数C,1.0282,1.0282,1.01%,0.84%,-3.68%,-0.83%,16.48%,18.46%,5.96%,0.1%,-2.62%,2.82%
003876,华宝沪深300指数增强A,1.4025,1.6415,0.73%,0.72%,-2.78%,-1.47%,11.93%,18.46%,-2.68%,-17.24%,-1.91%,66.78%
019923,华泰柏瑞中证2000指数增强A,1.1845,1.1845,1.3%,1.34%,-1.52%,13.78%,45.87%,18.45%,,,1.47%,18.45%
008184,新华沪深300指数增强C,1.1997,1.1997,0.79%,0.7%,-2.51%,-1.56%,11.45%,18.42%,-2.8%,-14.34%,-1.78%,19.97%
005870,鹏华沪深300指数增强A,1.3267,1.3267,0.81%,0.77%,-2.28%,-1.52%,9.75%,18.34%,-2.27%,-7.25%,-1.5%,32.67%
014624,中银MSCI中国A50互联互通指数增强C,1.1607,1.1607,0.55%,0.77%,-3.49%,-3.76%,5.04%,18.34%,,,-2.58%,16.07%
003579,中金沪深300C,1.6495,1.6495,0.73%,1.01%,-2.6%,-1.36%,10.76%,18.29%,-0.97%,-10.1%,-1.57%,55%
003016,中金中证500A,1.6639,1.6639,1.04%,1%,-2.63%,0.88%,21.27%,18.24%,-2.71%,-9.36%,-0.44%,66.39%
010771,天弘国证消费100指数增强发起A,0.7133,0.7133,1.08%,1.36%,-2.55%,-1.03%,14.59%,18.23%,-12.6%,-22.83%,-0.75%,-28.67%
017920,中欧中证1000指数增强C,0.9645,0.9645,1.34%,1.05%,-3.27%,3.14%,27.65%,18.21%,,,-0.73%,-3.55%
007089,国投瑞银中证500指数量化增强C,1.9839,1.9839,1.1%,1.03%,-2.39%,0.36%,19.86%,18.16%,-4.06%,-13.87%,-0.52%,70.58%
017896,汇添富中证800指数增强A,1.0678,1.0678,0.85%,0.93%,-2.73%,-0.29%,12.35%,18.16%,,,-1.68%,6.78%
000313,华安沪深300增强C,1.911,2.271,0.98%,0.77%,-3.04%,-2.39%,10.69%,18.15%,-9.49%,-18.47%,-1.81%,135.97%
007807,建信MSCI中国A股指数增强C,1.1449,1.3929,0.69%,1.08%,-3.03%,-1.44%,13.94%,18.09%,-6.13%,-13.13%,-1.94%,39.79%
010909,大成沪深300增强发起式C,0.8062,0.8062,0.7%,-0.43%,-2.81%,-0.85%,9.78%,18.09%,-2.49%,-12.69%,-2.08%,-19.38%
161039,富国中证1000指数增强(LOF)A,1.9193,1.9193,1.6%,0.77%,-2.93%,2.14%,24.23%,17.99%,-1.96%,-4.64%,-0.74%,91.93%
007404,华宝沪深300指数增强C,1.3665,1.6055,0.72%,0.71%,-2.81%,-1.57%,11.71%,17.99%,-3.46%,-18.22%,-1.94%,38.69%
016690,鹏华沪深300指数增强C,0.9614,0.9614,0.81%,0.77%,-2.31%,-1.6%,9.59%,17.99%,-2.85%,,-1.52%,-3.86%
015387,中欧沪深300指数增强A,0.9205,0.9205,0.89%,0.78%,-2.83%,-1.72%,11.59%,17.97%,-6.3%,,-2.04%,-7.95%
019924,华泰柏瑞中证2000指数增强C,1.1796,1.1796,1.3%,1.33%,-1.56%,13.66%,45.58%,17.97%,,,1.44%,17.96%
000512,国泰沪深300指数增强A,1.1804,2.1333,0.77%,0.16%,-3.44%,-0.73%,10.74%,17.96%,-4.88%,-14.64%,-2.33%,119.84%
110030,易方达沪深300量化增强,2.4979,2.4979,0.79%,0.86%,-2.8%,-2.02%,12.39%,17.93%,-10.83%,-21.48%,-1.51%,149.79%
015061,中信建投沪深300指数增强A,0.9966,0.9966,0.66%,0.69%,-2.77%,-1.73%,12.44%,17.9%,-1.11%,,-1.75%,-0.34%
010772,天弘国证消费100指数增强发起C,0.7046,0.7046,1.06%,1.35%,-2.59%,-1.11%,14.4%,17.89%,-13.13%,-23.52%,-0.77%,-29.54%
002063,国泰沪深300指数增强C,1.1543,2.1033,0.77%,0.16%,-3.45%,-0.76%,10.68%,17.85%,-5.07%,-14.89%,-2.34%,30.82%
018116,泰康中证500指数增强发起A,1.0325,1.0325,1.11%,1.23%,-3.05%,-0.35%,18.3%,17.82%,,,-0.76%,3.25%
006034,富国MSCI中国A股国际通指数增强A,1.9792,1.9792,0.73%,0.38%,-2.99%,-1.43%,11%,17.8%,0.92%,-5.67%,-2.13%,97.92%
003578,中金中证500C,1.6332,1.6332,1.05%,1%,-2.66%,0.78%,21.02%,17.77%,-3.49%,-10.44%,-0.47%,51.26%
013331,富国中证1000指数增强(LOF)C,1.9062,1.9062,1.6%,0.77%,-2.94%,2.09%,24.1%,17.75%,-2.35%,-5.21%,-0.75%,-7.52%
017897,汇添富中证800指数增强C,1.0608,1.0608,0.86%,0.92%,-2.77%,-0.39%,12.12%,17.7%,,,-1.7%,6.08%
163407,兴全沪深300指数(LOF)A,2.3569,2.3569,0.89%,0.82%,-3.95%,-2.69%,9.77%,17.64%,-0.04%,-6.94%,-3.19%,135.69%
006682,景顺长城中证500指数增强A,1.3314,1.3314,1.25%,1.06%,-3.08%,-0.85%,18.74%,17.58%,-7.96%,-15.79%,-0.8%,33.14%
014170,富国MSCI中国A股国际通指数增强C,1.9743,1.9743,0.72%,0.37%,-3.01%,-1.48%,10.89%,17.56%,,,-2.15%,5.8%
002076,浙商中证500增强A,1.484,1.484,1.14%,1.07%,-2.99%,-0.36%,18.64%,17.54%,-5.8%,-15.59%,-0.77%,48.4%
016276,招商中证800指数增强A,0.9923,0.9923,1.17%,1.55%,-2.06%,0.07%,15.21%,17.54%,-1.93%,,-1.05%,-0.77%
162213,宏利沪深300指数A,1.5235,2.33,0.51%,0.89%,-2.61%,-1.39%,10.9%,17.52%,-4.5%,-14.01%,-1.74%,172.37%
007143,国投瑞银沪深300指数量化增强A,1.2383,1.3173,0.75%,0.75%,-2.83%,-1.79%,11.19%,17.51%,-7.3%,-15%,-1.93%,31.02%
005062,博时中证500指数增强A,1.2719,1.2719,0.88%,0.89%,-3.17%,-0.14%,19.75%,17.46%,-2.79%,-11.14%,-0.56%,27.19%
015062,中信建投沪深300指数增强C,0.9866,0.9866,0.64%,0.67%,-2.81%,-1.83%,12.2%,17.42%,-1.91%,,-1.78%,-1.34%
530018,建信深证100指数增强,2.0728,2.0728,0.9%,1.54%,-2.42%,-1.77%,17.43%,17.39%,-9.55%,-21.26%,-0.48%,107.28%
019656,中欧沪深300指数增强E,0.915,0.915,0.87%,0.75%,-2.88%,-1.86%,11.31%,17.38%,,,-2.08%,9.1%
003986,申万菱信中证500指数优选增强A,1.7122,1.8002,0.91%,1.02%,-0.41%,-0.54%,19.36%,17.37%,-7.52%,-15.79%,1.06%,84.55%
006440,中信建投中证500增强A,1.3998,1.3998,0.8%,0.6%,-2.89%,1.91%,21.47%,17.35%,-3.95%,-13.16%,-1.28%,39.98%
018117,泰康中证500指数增强发起C,1.0265,1.0265,1.09%,1.21%,-3.09%,-0.46%,18.06%,17.35%,,,-0.79%,2.65%
006165,建信中证1000指数增强A,1.5499,2.0813,1.47%,1.62%,-2.85%,3.3%,27.53%,17.3%,-6.6%,-6.05%,-0.42%,109.29%
020160,中信保诚沪深300指数增强A,1.1574,1.1574,0.92%,0.72%,-2.96%,-1.95%,12.65%,17.29%,,,-2.11%,15.74%
015388,中欧沪深300指数增强C,0.905,0.905,0.88%,0.76%,-2.88%,-1.88%,11.26%,17.26%,-7.42%,,-2.08%,-9.5%
012206,中泰沪深300量化优选增强A,0.8237,0.8237,0.97%,0.97%,-3.31%,-2.56%,10.47%,17.25%,-5.32%,-13.58%,-2.12%,-17.63%
017547,天弘国证2000指数增强A,0.9301,0.9301,1.67%,1.82%,-2.03%,6.25%,31.24%,17.24%,,,0.67%,-6.99%
165310,建信沪深300指数增强(LOF)A,1.1907,2.0467,0.63%,0.74%,-3.49%,-2.26%,10.64%,17.19%,-3.05%,-12.86%,-2.55%,134.16%
003548,宏利沪深300指数C,1.5034,1.8692,0.51%,0.89%,-2.64%,-1.46%,10.73%,17.18%,-5.06%,-14.77%,-1.75%,56.47%
009608,广发中证500指数增强A,0.9987,0.9987,0.88%,0.99%,-2.68%,1.9%,20.95%,17.18%,-0.99%,-11.32%,-0.51%,-0.13%
004190,招商沪深300指数增强A,1.5018,1.5018,0.91%,1.14%,-3.28%,-1.7%,10.76%,17.17%,-2.98%,-11.59%,-2.32%,50.18%
007230,兴全沪深300指数(LOF)C,2.3097,2.3097,0.89%,0.81%,-3.99%,-2.79%,9.55%,17.17%,-0.84%,-8.04%,-3.22%,26.06%
007386,浙商中证500增强C,1.4562,1.4562,1.13%,1.06%,-3.02%,-0.45%,18.44%,17.11%,-6.46%,-16.48%,-0.79%,48.65%
410010,华富中小企业100指数增强,1.0807,1.0807,1.17%,2.23%,-0.28%,1.55%,16.73%,17.1%,-18.08%,-31.09%,1.36%,8.07%
016935,景顺长城中证500指数增强C,1.3199,1.3199,1.25%,1.05%,-3.12%,-0.95%,18.48%,17.1%,-8.71%,,-0.83%,-7.72%
007144,国投瑞银沪深300指数量化增强C,1.2129,1.2884,0.75%,0.75%,-2.86%,-1.88%,10.97%,17.05%,-8.04%,-16%,-1.96%,28.09%
007794,申万菱信中证500指数优选增强C,1.5273,1.5273,0.91%,1.02%,-0.44%,-0.62%,19.17%,17.02%,-8.07%,-16.54%,1.04%,52.73%
006441,中信建投中证500增强C,1.3801,1.3801,0.8%,0.58%,-2.92%,1.82%,21.28%,17.01%,-4.53%,-13.95%,-1.3%,38.01%
005795,博时中证500指数增强C,1.2379,1.2379,0.88%,0.88%,-3.21%,-0.23%,19.52%,16.99%,-3.57%,-12.2%,-0.58%,27.86%
016277,招商中证800指数增强C,0.9803,0.9803,1.17%,1.53%,-2.12%,-0.05%,14.92%,16.95%,-2.91%,,-1.08%,-1.97%
017548,天弘国证2000指数增强C,0.925,0.925,1.67%,1.82%,-2.05%,6.18%,31.04%,16.9%,,,0.65%,-7.5%
700002,平安深证300指数增强,2.078,2.158,1.22%,1.66%,-2.72%,-1.42%,17.33%,16.87%,-17.34%,-27.82%,-0.43%,123.85%
015921,申万菱信国证2000指数增强型发起式A,0.9735,0.9735,1.31%,1.73%,-1.12%,9.89%,33.74%,16.84%,-0.93%,,1.08%,-2.65%
006166,建信中证1000指数增强C,1.5105,2.0366,1.48%,1.61%,-2.87%,3.19%,27.28%,16.83%,-7.35%,-7.17%,-0.45%,104.21%
519116,浦银安盛沪深300指数增强A,1.1024,1.9564,0.76%,0.79%,-2.55%,-2.59%,8.89%,16.83%,-3.55%,-18.45%,-1.86%,84.94%
013442,建信中证1000指数增强E,1.511,1.9361,1.48%,1.61%,-2.87%,3.19%,27.26%,16.82%,-7.34%,-7.16%,-0.45%,-9.8%
012207,中泰沪深300量化优选增强C,0.8121,0.8121,0.97%,0.97%,-3.33%,-2.65%,10.26%,16.8%,-6.07%,-14.61%,-2.13%,-18.79%
020161,中信保诚沪深300指数增强C,1.1521,1.1521,0.91%,0.72%,-3%,-2.06%,12.42%,16.79%,,,-2.15%,15.21%
000311,景顺长城沪深300指数增强A,2.151,2.491,0.89%,0.75%,-2.98%,-2.05%,10.93%,16.78%,-6.44%,-18.18%,-1.83%,153.04%
016867,华泰紫金沪深300指数增强发起A,1.0219,1.0219,0.83%,0.81%,-2.68%,-1.79%,9.72%,16.75%,-4.66%,,-2.01%,2.19%
009208,建信沪深300指数增强(LOF)C,1.1686,1.1686,0.62%,0.73%,-3.52%,-2.35%,10.42%,16.73%,-3.83%,-13.9%,-2.57%,16.94%
009609,广发中证500指数增强C,0.9817,0.9817,0.87%,0.98%,-2.72%,1.79%,20.71%,16.7%,-1.78%,-12.38%,-0.54%,-1.83%
004191,招商沪深300指数增强C,1.4588,1.4588,0.91%,1.13%,-3.31%,-1.8%,10.54%,16.7%,-3.76%,-12.64%,-2.34%,45.88%
015679,景顺长城沪深300指数增强C,2.14,2.14,0.9%,0.75%,-2.99%,-2.1%,10.88%,16.56%,-6.79%,,-1.83%,-4.72%
003884,汇安沪深300指数增强A,1.346,1.346,0.79%,1.16%,-2.17%,-1.17%,11.53%,16.55%,-14.68%,-23.98%,-1.08%,34.6%
016267,建信中证500指数量化增强发起A,1.0015,1.0015,0.99%,0.55%,-3.03%,-0.15%,17.05%,16.51%,-6.01%,,-0.9%,0.15%
018653,万家国证2000指数增强A,1.0008,1.0008,1.24%,1.26%,-2.49%,5.06%,28.64%,16.48%,,,0.37%,0.08%
008592,天弘沪深300指数增强发起A,1.2054,1.2054,0.78%,0.53%,-3.3%,-2.69%,9.71%,16.45%,-2.84%,-14.75%,-2.3%,20.54%
014133,工银中证500六个月持有指数增强A,0.8849,0.8849,1.14%,1.48%,-1.41%,1.97%,23.97%,16.39%,-3.95%,-6.09%,0.77%,-11.51%
019210,浦银安盛沪深300指数增强C,1.0967,1.0967,0.76%,0.78%,-2.57%,-2.69%,8.68%,16.39%,,,-1.88%,3.66%
015922,申万菱信国证2000指数增强型发起式C,0.9638,0.9638,1.31%,1.72%,-1.15%,9.77%,33.47%,16.37%,-1.71%,,1.06%,-3.62%
014831,兴银中证1000指数增强A,0.8699,0.8699,1.6%,1.45%,-2.74%,4.54%,27.01%,16.33%,-3.86%,,-0.03%,-13.01%
010157,汇安中证500增强A,0.8887,0.8887,1.05%,1.3%,-1.77%,-0.6%,16.05%,16.32%,-3.21%,-18.47%,0.01%,-11.13%
673100,西部利得沪深300指数增强A,1.7097,1.8297,1.06%,0.97%,-2.92%,-1.51%,10.42%,16.3%,-3.01%,-14.43%,-2.12%,89.62%
010854,汇添富沪深300基本面增强指数A,0.6081,0.6081,0.78%,0.63%,-3.41%,-2.36%,11.35%,16.29%,-10.76%,-26.97%,-2.01%,-39.19%
004881,中银沪深300指数增强A,1.1359,1.2354,0.74%,0.77%,-2.66%,-2.41%,9.17%,16.28%,-1.99%,-15.07%,-1.88%,24.33%
016868,华泰紫金沪深300指数增强发起C,1.0132,1.0132,0.82%,0.8%,-2.72%,-1.9%,9.5%,16.27%,-5.41%,,-2.04%,1.32%
004788,富荣沪深300指数增强A,1.7858,1.7858,0.73%,0.56%,-3.6%,-4.25%,9.96%,16.26%,-8.8%,-15.2%,-2.39%,78.58%
003760,国泰中证500指数增强A,1.0459,1.1097,1.23%,0.52%,-4.94%,-0.54%,17.81%,16.19%,-3.37%,-10.19%,-2.27%,10.14%
003761,国泰中证500指数增强C,1.0319,1.0948,1.24%,0.53%,-4.94%,-0.54%,17.81%,16.18%,-3.38%,-10.21%,-2.26%,8.66%
016268,建信中证500指数量化增强发起C,0.9954,0.9954,0.98%,0.56%,-3.05%,-0.22%,16.89%,16.16%,-6.56%,,-0.93%,-0.46%
004789,富荣沪深300指数增强C,1.7728,1.7728,0.73%,0.56%,-3.6%,-4.27%,9.9%,16.13%,-8.98%,-15.46%,-2.39%,77.28%
008593,天弘沪深300指数增强发起C,1.1872,1.1872,0.77%,0.51%,-3.34%,-2.76%,9.54%,16.11%,-3.42%,-15.52%,-2.32%,18.72%
014832,兴银中证1000指数增强C,0.8648,0.8648,1.6%,1.45%,-2.75%,4.49%,26.9%,16.1%,-4.23%,,-0.05%,-13.52%
100038,富国沪深300指数增强A,1.537,2.123,0.85%,0.59%,-2.97%,-2.29%,8.78%,16.09%,-2.04%,-13.35%,-2.16%,118.17%
003885,汇安沪深300指数增强C,1.2261,1.2261,0.79%,1.15%,-2.19%,-1.27%,11.31%,16.09%,-15.36%,-24.89%,-1.11%,22.61%
590007,中邮中证500指数增强A,1.1715,1.6815,1.13%,0.77%,-3.14%,0.05%,14.01%,16.07%,-3.51%,-16.36%,-1.94%,74.41%
018157,西部利得中证1000指数增强A,0.9913,1.0013,1.69%,1.68%,-2.58%,4.79%,28.72%,16.06%,,,0.39%,0.1%
018654,万家国证2000指数增强C,0.9955,0.9955,1.24%,1.26%,-2.53%,4.96%,28.39%,16.03%,,,0.35%,-0.45%
000042,财通中证ESG100指数增强A,1.8793,2.3681,0.8%,0.43%,-4.5%,-3.76%,10.25%,16.01%,0.39%,-8.61%,-3.25%,159.39%
014134,工银中证500六个月持有指数增强C,0.8739,0.8739,1.15%,1.46%,-1.45%,1.87%,23.71%,15.92%,-4.73%,-7.22%,0.75%,-12.61%
010153,中加中证500指数增强A,0.9374,0.9374,0.94%,0.7%,-3.37%,-0.03%,19.11%,15.91%,-4.75%,-13.8%,-1.41%,-6.26%
016103,申万菱信沪深300优选指数增强发起A,0.9605,0.9605,0.69%,0.7%,-3.54%,-4.79%,8.23%,15.9%,-10.07%,,-2.48%,-3.95%
010158,汇安中证500增强C,0.8739,0.8739,1.04%,1.29%,-1.8%,-0.7%,15.83%,15.87%,-3.99%,-19.44%,-0.01%,-12.61%
017505,明亚中证1000指数增强A,0.9614,0.9614,1.24%,0.78%,-4.37%,2.4%,23.81%,15.85%,,,-2.45%,-3.86%
673101,西部利得沪深300指数增强C,1.6729,1.6729,1.06%,0.97%,-2.96%,-1.61%,10.2%,15.83%,-3.79%,-15.45%,-2.14%,80.83%
010311,中银沪深300指数增强C,1.1159,1.2154,0.73%,0.77%,-2.69%,-2.52%,8.95%,15.81%,-2.77%,-16.08%,-1.91%,-12.53%
014305,华泰柏瑞中证500指数增强A,1.0133,1.0133,1.07%,1.06%,-1.46%,-0.77%,17.5%,15.81%,-3.7%,,0.36%,1.33%
013291,富国沪深300指数增强C,1.526,1.756,0.86%,0.53%,-2.99%,-2.37%,8.61%,15.78%,-2.49%,-13.91%,-2.24%,-17.54%
018233,浙商中证1000指数增强A,1.0044,1.0044,1.42%,0.85%,-3.23%,3.5%,25.17%,15.74%,,,-0.67%,0.44%
008124,中邮中证500指数增强C,1.1703,1.1703,1.13%,0.77%,-3.17%,-0.03%,13.84%,15.71%,-4.1%,-17.11%,-1.96%,17.03%
005850,财通沪深300指数增强,1.4366,1.4366,0.79%,0.95%,-2.6%,-2.09%,11.05%,15.62%,-7.14%,-11.83%,-1.22%,43.66%
018158,西部利得中证1000指数增强C,0.9844,0.9944,1.69%,1.67%,-2.61%,4.68%,28.46%,15.61%,,,0.37%,-0.59%
010154,中加中证500指数增强C,0.925,0.925,0.93%,0.69%,-3.4%,-0.11%,18.94%,15.57%,-5.31%,-14.57%,-1.44%,-7.5%
005607,华宝中证500增强A,1.1114,1.1114,0.83%,1.02%,-3.63%,-0.81%,18.85%,15.52%,-4.71%,-11.56%,-0.94%,11.14%
002311,创金合信中证500指数增强A,1.104,1.3246,1.28%,1.11%,-3.57%,1.13%,22.25%,15.49%,-8.76%,-14.28%,-1.22%,29.76%
016104,申万菱信沪深300优选指数增强发起C,0.9525,0.9525,0.7%,0.7%,-3.56%,-4.87%,8.02%,15.44%,-10.8%,,-2.5%,-4.75%
016697,华泰柏瑞上证50指数增强A,1.0097,1.0097,0.53%,0.09%,-4.06%,-3.63%,7.32%,15.38%,,,-3.51%,0.97%
002316,创金合信中证500指数增强C,1.1009,1.3217,1.29%,1.11%,-3.58%,1.1%,22.19%,15.37%,-8.94%,-14.53%,-1.22%,29.39%
010855,汇添富沪深300基本面增强指数C,0.5889,0.5889,0.79%,0.62%,-3.47%,-2.55%,10.9%,15.36%,-12.18%,-28.7%,-2.06%,-41.11%
014306,华泰柏瑞中证500指数增强C,1.0023,1.0023,1.07%,1.05%,-1.49%,-0.87%,17.27%,15.35%,-4.46%,,0.33%,0.23%
017506,明亚中证1000指数增强C,0.9549,0.9549,1.24%,0.77%,-4.4%,2.28%,23.48%,15.31%,,,-2.48%,-4.51%
018234,浙商中证1000指数增强C,0.9991,0.9991,1.43%,0.84%,-3.26%,3.41%,24.93%,15.29%,,,-0.7%,-0.09%
008056,南方上证50增强A,0.9397,0.9397,0.56%,0.16%,-3.57%,-2.26%,8.11%,15.24%,-13.72%,-24.27%,-3.12%,-6.03%
018633,财通中证500指数增强A,0.9669,0.9669,0.88%,1.11%,-2.01%,-1.32%,17.19%,15.22%,,,-0.03%,-3.31%
000478,建信中证500指数增强A,2.5671,2.5671,1.01%,0.98%,-2.14%,1.13%,15.53%,15.14%,-9.24%,-15.66%,-0.43%,156.71%
019270,财通中证1000指数增强A,1.0097,1.0097,1.47%,1.6%,-2.04%,2.94%,22.21%,15.13%,,,0.48%,0.97%
013233,华夏中证500指数智选增强A,0.9997,0.9997,1.02%,0.23%,-4.24%,-0.16%,17.89%,15.07%,4.63%,3.17%,-2.36%,-0.03%
005608,华宝中证500增强C,1.0816,1.0816,0.83%,1.01%,-3.67%,-0.92%,18.61%,15.05%,-5.48%,-12.63%,-0.97%,8.16%
009613,上银中证500指数增强型A,0.9924,0.9924,1.0%,0.83%,-2.99%,0.62%,19.47%,14.97%,-2.45%,-12.83%,-0.83%,-0.76%
007994,华夏中证500指数增强A,1.8011,1.8011,1.03%,0.21%,-4.29%,-0.3%,17.61%,14.95%,4.91%,3.73%,-2.38%,80.11%
016698,华泰柏瑞上证50指数增强C,1.0022,1.0022,0.52%,0.08%,-4.09%,-3.72%,7.11%,14.92%,,,-3.53%,0.22%
006048,长城中证500指数增强A,1.5488,1.5488,1.27%,0.81%,-4.34%,0.27%,18.27%,14.89%,1.19%,-8.37%,-2.16%,54.88%
008057,南方上证50增强C,0.922,0.922,0.56%,0.15%,-3.61%,-2.36%,7.89%,14.79%,-14.42%,-25.17%,-3.16%,-7.8%
017985,华夏中证800指数增强A,0.9556,0.9556,0.76%,0.53%,-3.21%,-0.08%,15.72%,14.75%,,,-1.67%,-4.44%
018634,财通中证500指数增强C,0.9609,0.9609,0.87%,1.09%,-2.05%,-1.43%,16.94%,14.75%,,,-0.06%,-3.91%
016680,中金中证500ESG指数增强A,0.9375,0.9375,1.09%,1.12%,-3.25%,-0.94%,17.47%,14.74%,-6.53%,,-0.85%,-6.25%
019271,财通中证1000指数增强C,1.0048,1.0048,1.46%,1.6%,-2.07%,2.83%,21.96%,14.68%,,,0.45%,0.48%
009614,上银中证500指数增强型C,0.9791,0.9791,1.0%,0.83%,-3.01%,0.54%,19.3%,14.64%,-3.02%,-13.61%,-0.85%,-2.09%
013234,华夏中证500指数智选增强C,0.9859,0.9859,1.01%,0.21%,-4.29%,-0.26%,17.64%,14.6%,3.78%,1.93%,-2.4%,-1.41%
005633,建信中证500指数增强C,2.4791,2.4791,1.01%,0.97%,-2.19%,1%,15.23%,14.56%,-10.14%,-16.92%,-0.47%,4.53%
007413,长城中证500指数增强C,1.2644,1.5044,1.27%,0.8%,-4.37%,0.19%,18.08%,14.53%,0.59%,-9.17%,-2.18%,62.41%
007995,华夏中证500指数增强C,1.7668,1.7668,1.02%,0.2%,-4.33%,-0.41%,17.37%,14.48%,4.07%,2.49%,-2.41%,76.68%
016498,易方达MSCI中国A50互联互通量化增强A,0.8397,0.8397,0.56%,0.9%,-3.69%,-5.32%,6.1%,14.35%,-20.73%,,-2.58%,-16.03%
007943,富安达中证500指数增强A,1.2543,1.2543,1.1%,0.58%,-5.44%,-1.95%,13.09%,14.34%,0.2%,-7.05%,-3.31%,25.43%
017986,华夏中证800指数增强C,0.9486,0.9486,0.75%,0.52%,-3.25%,-0.19%,15.47%,14.28%,,,-1.69%,-5.14%
016681,中金中证500ESG指数增强C,0.929,0.929,1.09%,1.11%,-3.29%,-1.04%,17.22%,14.27%,-7.29%,,-0.89%,-7.1%
000176,嘉实沪深300指数研究增强A,1.4464,1.4464,0.86%,0.87%,-2.59%,-2.64%,9.9%,14.23%,-9.09%,-20.05%,-1.62%,44.64%
005313,万家中证1000指数增强A,1.1037,1.7874,1.51%,1.14%,-3.09%,2.4%,24.91%,14.22%,-13.15%,-10.51%,-0.17%,98.29%
