代码,简称,基金经理,基金公司,资产规模,评级评分,涨幅评分,业绩评分,综合评分,上海证券评级,招商证券评级,济安金信评级,晨星评级,近3月涨幅,近3月四分位,近6月涨幅,近6月四分位,近1年涨幅,近1年四分位,近2年涨幅,近2年四分位,近3年涨幅,近3年四分位,近5年涨幅,近5年四分位,选证能力,收益率,抗风险,稳定性,择时能力
004815,中欧红利优享混合,蓝小康,中欧,15.66亿元,84.00000000000001,72,76.5,78.3,5,3,5,4,-5.73%,不佳,5.13%,一般,26.78%,优秀,7.32%,优秀,3.73%,优秀,71.07%,优秀,95.0,95.0,75.0,75.0,50.0
001441,易方达瑞信混合I,杨康,易方达,4.75亿元,88.00000000000001,60,90.5,86.7,5,3,4,5,1.53%,优秀,3.37%,一般,7.91%,一般,9.84%,优秀,10.45%,优秀,32.56%,良好,85.0,80.0,95.0,90.0,80.0
005598,广发中小盘精选混,陈韫中,广发,17.97亿元,80.0,96,69.5,75.29999999999998,5,4,5,3,-2.56%,良好,25.00%,优秀,21.54%,优秀,-0.01%,优秀,-8.10%,优秀,50.75%,优秀,70.0,80.0,65.0,65.0,90.0
002691,前海开源恒泽混合,吴彦,前海开源,3.67亿元,88.00000000000001,70,83.5,83.5,5,3,4,5,-0.10%,不佳,6.41%,优秀,11.86%,优秀,7.02%,优秀,9.46%,优秀,19.23%,一般,80.0,85.0,85.0,80.0,80.0
002282,平安安享灵活配置,莫艽,平安,0.37亿元,88.00000000000001,98,80.0,84.2,5,4,3,5,4.41%,优秀,26.64%,优秀,24.28%,优秀,20.83%,优秀,10.22%,优秀,37.53%,良好,95.0,95.0,75.0,80.0,80.0
001400,安信鑫安得利混合,张明,安信,2.74亿元,88.00000000000001,48,93.0,87.0,5,3,4,5,1.76%,优秀,2.38%,不佳,5.40%,一般,7.18%,优秀,8.69%,优秀,34.35%,良好,75.0,75.0,100.0,100.0,80.0
501062,南方瑞合定开混合,史博,南方,5.09亿元,76.0,98,79.5,80.3,3,5,5,3,6.87%,优秀,21.68%,优秀,28.30%,优秀,0.16%,良好,10.06%,优秀,48.40%,优秀,100.0,95.0,75.0,80.0,70.0
006025,诺安优化配置混合,刘慧影,诺安,6.54亿元,84.00000000000001,98,66.0,74.60000000000001,5,5,3,4,4.51%,优秀,45.81%,优秀,44.59%,优秀,26.16%,优秀,10.68%,优秀,35.30%,良好,75.0,95.0,60.0,50.0,80.0
005810,南方瑞祥一年混合,李锦文,南方,2.33亿元,76.0,88,76.0,77.2,3,5,5,3,-3.40%,一般,8.29%,良好,20.06%,优秀,12.99%,优秀,2.57%,优秀,57.38%,优秀,85.0,95.0,75.0,75.0,55.0
004834,先锋聚利混合C,曾捷,先锋,0.03亿元,88.00000000000001,90,82.0,84.6,5,3,4,5,12.60%,优秀,37.12%,优秀,42.77%,优秀,22.35%,优秀,15.85%,优秀,8.45%,一般,75.0,100.0,80.0,70.0,95.0
005708,国联安远见成长混,杨子江,国联安,0.80亿元,92.0,70,79.0,82.0,4,4,5,5,-2.26%,良好,4.24%,不佳,16.53%,良好,-2.89%,优秀,-8.87%,优秀,68.09%,优秀,80.0,85.0,80.0,80.0,65.0
002449,民生加银量化中国,何江,民生,0.10亿元,92.0,42,79.5,79.5,5,4,4,5,-4.09%,一般,2.05%,不佳,1.06%,不佳,2.48%,优秀,9.65%,优秀,47.97%,优秀,75.0,80.0,80.0,80.0,80.0
004959,圆信永丰优悦生活,党伟,圆信永丰,3.08亿元,92.0,86,75.5,81.49999999999999,5,4,4,5,-2.07%,良好,14.59%,良好,18.54%,良好,4.17%,优秀,-3.30%,优秀,96.53%,优秀,80.0,80.0,75.0,70.0,75.0
005851,财通新视野灵活配,沈犁,财通,0.46亿元,88.00000000000001,100,68.5,77.5,4,5,5,4,18.28%,优秀,41.91%,优秀,40.98%,优秀,18.35%,优秀,26.97%,优秀,76.56%,优秀,55.0,80.0,65.0,60.0,100.0
005695,华安睿明两年定开,陆奔,华安,2.43亿元,76.0,58,59.0,64.0,3,5,5,3,-0.56%,一般,12.75%,优秀,7.10%,一般,-4.09%,良好,-14.88%,良好,86.39%,优秀,0.0,75.0,75.0,65.0,0.0
004357,南方智慧混合,李锦文,南方,4.69亿元,92.0,78,76.5,81.3,4,5,4,5,-4.13%,一般,6.56%,一般,16.81%,良好,8.89%,优秀,-1.90%,优秀,69.91%,优秀,80.0,95.0,75.0,75.0,65.0
005856,中科沃土沃瑞混合,徐伟,中科沃土,0.19亿元,76.0,18,73.0,68.39999999999999,5,3,5,3,-12.20%,不佳,-4.82%,不佳,-2.38%,不佳,-17.32%,一般,-17.39%,良好,93.11%,优秀,75.0,70.0,75.0,70.0,65.0
005855,中科沃土沃瑞混合,徐伟,中科沃土,0.20亿元,76.0,18,73.0,68.39999999999999,5,3,5,3,-12.03%,不佳,-4.44%,不佳,-1.65%,不佳,-16.01%,一般,-15.24%,良好,98.94%,优秀,75.0,70.0,75.0,70.0,65.0
006132,万家智造优势混合,张希晨,万家,4.12亿元,80.0,80,72.5,75.5,5,4,5,3,-4.07%,一般,16.01%,良好,18.73%,良好,-13.91%,良好,-14.20%,优秀,71.84%,优秀,80.0,80.0,70.0,65.0,80.0
006701,红土创新稳健混合,陈若劲,红土创新,1.57亿元,84.00000000000001,54,85.5,81.9,5,3,5,4,-1.23%,不佳,-0.64%,不佳,6.76%,良好,9.26%,优秀,7.06%,优秀,38.82%,优秀,75.0,80.0,90.0,85.0,75.0
006976,鹏华核心优势混合,黄奕松,鹏华,1.62亿元,92.0,96,72.5,80.69999999999999,4,5,4,5,-0.53%,良好,24.41%,优秀,31.95%,优秀,-1.89%,优秀,-4.25%,优秀,58.77%,优秀,75.0,85.0,70.0,65.0,80.0
006160,博道启航混合A,刘玮明,博道,2.00亿元,88.00000000000001,100,78.0,83.2,3,5,4,5,2.33%,优秀,19.76%,优秀,25.93%,优秀,8.22%,优秀,-3.43%,优秀,47.66%,优秀,80.0,90.0,75.0,75.0,85.0
005616,东方量化成长灵活,盛泽,东方,0.51亿元,88.00000000000001,94,62.0,73.0,3,4,5,5,3.17%,优秀,30.84%,优秀,18.05%,良好,11.38%,优秀,2.98%,优秀,39.22%,优秀,65.0,75.0,55.0,55.0,95.0
006921,南方智诚混合,李锦文,南方,4.34亿元,92.0,78,76.5,81.3,4,5,4,5,-3.34%,一般,8.00%,一般,18.79%,良好,10.97%,优秀,-0.15%,优秀,55.03%,优秀,85.0,95.0,75.0,75.0,60.0
320015,诺安行业轮动混合,韩冬燕,诺安,4.50亿元,88.00000000000001,42,76.0,76.2,4,5,5,4,-4.74%,一般,2.29%,不佳,12.89%,一般,10.39%,优秀,0.13%,优秀,64.59%,优秀,75.0,80.0,75.0,80.0,75.0
