代码,简称,基金经理,基金公司,资产规模,评级评分,涨幅评分,业绩评分,综合评分,上海证券评级,招商证券评级,济安金信评级,晨星评级,近3月涨幅,近3月四分位,近6月涨幅,近6月四分位,近1年涨幅,近1年四分位,近2年涨幅,近2年四分位,近3年涨幅,近3年四分位,近5年涨幅,近5年四分位,选证能力,收益率,抗风险,稳定性,择时能力
001230,鹏华医药科技股票,金笑非,鹏华,21.70亿元,80.0,32,65.5,66.5,4,3,3,5,-7.34%,不佳,8.12%,一般,0.86%,不佳,-15.98%,一般,-8.49%,优秀,48.69%,优秀,60.0,60.0,65.0,60.0,85.0
000955,南方产业活力,袁立,南方,3.21亿元,76.0,74,84.5,80.9,3,3,3,5,-3.85%,一般,9.93%,一般,23.73%,优秀,-5.18%,优秀,-11.26%,优秀,13.49%,一般,85.0,85.0,85.0,90.0,75.0
001577,嘉实低价策略股票,栾峰,嘉实,2.68亿元,88.00000000000001,78,87.0,86.39999999999999,4,4,4,5,-5.38%,一般,6.74%,一般,14.69%,良好,-1.37%,优秀,-7.15%,优秀,63.11%,优秀,85.0,85.0,90.0,90.0,70.0
519965,长信量化多策略股,左金保,长信,13.72亿元,76.0,72,89.5,83.7,3,3,3,5,-3.65%,一般,8.96%,一般,19.34%,良好,-6.04%,良好,-17.21%,良好,24.56%,良好,85.0,85.0,95.0,85.0,70.0
001672,国寿安保智慧生活,张琦,国寿安保,14.93亿元,76.0,100,70.0,74.8,5,4,4,3,11.63%,优秀,35.14%,优秀,34.21%,优秀,4.38%,优秀,-4.51%,优秀,70.60%,优秀,75.0,80.0,65.0,70.0,85.0
001692,南方国策动力,雷嘉源,南方,1.41亿元,80.0,78,83.0,81.6,5,3,4,4,-4.02%,一般,10.50%,良好,18.14%,良好,-15.09%,良好,-14.99%,良好,47.09%,优秀,80.0,80.0,85.0,80.0,80.0
001736,圆信永丰优加生活,陈臣,圆信永丰,15.00亿元,80.0,50,78.5,76.1,5,3,4,4,-4.69%,一般,9.08%,一般,8.12%,一般,-7.12%,良好,-14.67%,良好,71.41%,优秀,75.0,70.0,80.0,75.0,85.0
002980,华夏创新前沿股票,屠环宇,华夏,29.51亿元,80.0,94,77.5,79.9,5,4,3,4,-3.01%,良好,18.37%,优秀,29.52%,优秀,-7.84%,良好,-10.06%,优秀,60.88%,优秀,90.0,85.0,75.0,75.0,75.0
003053,嘉实文体娱乐股票,王贵重,嘉实,2.16亿元,80.0,92,65.0,72.2,5,4,3,4,2.21%,优秀,34.48%,优秀,19.99%,良好,7.39%,优秀,-4.19%,优秀,27.83%,良好,65.0,75.0,60.0,55.0,95.0
001186,富国文体健康股票,林庆,富国,22.30亿元,84.00000000000001,90,89.5,87.9,3,4,4,5,2.63%,优秀,12.32%,良好,22.11%,良好,11.37%,优秀,-1.86%,优秀,91.47%,优秀,85.0,80.0,95.0,90.0,70.0
001651,工银新蓝筹股票A,盛震山,工银,3.73亿元,80.0,70,86.5,82.9,3,4,5,4,-2.82%,良好,-3.24%,不佳,14.65%,良好,-1.65%,优秀,-10.42%,优秀,58.47%,优秀,75.0,80.0,90.0,100.0,70.0
004716,中信保诚量化阿尔,提云涛,中信保诚,11.33亿元,84.00000000000001,84,89.5,87.30000000000001,5,4,4,4,-3.27%,良好,10.55%,良好,18.57%,良好,-0.92%,优秀,-10.02%,优秀,38.23%,良好,90.0,85.0,95.0,80.0,70.0
