代码,简称,基金经理,基金公司,资产规模,评级评分,涨幅评分,业绩评分,综合评分,上海证券评级,招商证券评级,济安金信评级,晨星评级,近3月涨幅,近3月四分位,近6月涨幅,近6月四分位,近1年涨幅,近1年四分位,近2年涨幅,近2年四分位,近3年涨幅,近3年四分位,近5年涨幅,近5年四分位,选证能力,收益率,跟踪误差,超额收益,管理规模
560660,新华中证云计算5,邓岳,新华,0.56亿元,76.0,100,76.0,78.4,3,3,3,5,1.82%,优秀,38.25%,优秀,45.28%,优秀,25.10%,优秀,8.09%,优秀,---,,70.0,90.0,80.0,65.0,75.0
013138,上银中债5-10,许佳,上银,77.13亿元,76.0,100,80.0,80.8,3,3,3,5,4.11%,优秀,5.07%,优秀,10.98%,优秀,17.99%,优秀,20.02%,优秀,---,,65.0,75.0,80.0,85.0,95.0
012973,国泰800汽车与,晏曦,国泰,0.16亿元,76.0,96,82.0,81.6,3,3,3,5,1.27%,优秀,21.03%,良好,37.90%,优秀,25.30%,优秀,10.17%,优秀,---,,95.0,95.0,70.0,80.0,70.0
012974,国泰800汽车与,晏曦,国泰,0.39亿元,76.0,96,82.0,81.6,3,3,3,5,1.20%,优秀,20.85%,良好,37.50%,优秀,24.58%,优秀,9.20%,优秀,---,,95.0,95.0,70.0,80.0,70.0
012461,东财龙头家电指数,姚楠燕,东财,0.59亿元,76.0,92,81.0,80.60000000000001,3,3,3,5,-3.42%,良好,18.00%,良好,30.69%,优秀,17.35%,优秀,7.00%,优秀,---,,80.0,90.0,75.0,85.0,75.0
013234,华夏中证500指,孙蒙,华夏,4.68亿元,76.0,59,72.0,71.9,3,3,3,5,-1.77%,良好,15.18%,良好,15.45%,一般,2.74%,良好,1.53%,优秀,---,,75.0,75.0,55.0,75.0,80.0
003184,财通中证ESG1,顾弘原,财通,0.00亿元,80.0,38,46.0,55.39999999999999,3,3,4,5,0.00%,优秀,0.00%,不佳,0.00%,不佳,0.00%,良好,0.00%,优秀,0.00%,不佳,0.0,65.0,50.0,65.0,50.0
013233,华夏中证500指,孙蒙,华夏,15.38亿元,76.0,62,73.0,72.8,3,3,3,5,-1.67%,良好,15.42%,良好,15.92%,一般,3.57%,优秀,2.76%,优秀,---,,75.0,75.0,55.0,75.0,85.0
159719,平安富时中国国企,刘洁倩,平安,3.08亿元,76.0,54,84.0,78.60000000000001,3,3,3,5,-6.17%,不佳,-1.65%,不佳,24.06%,良好,34.36%,优秀,44.84%,优秀,---,,80.0,95.0,80.0,85.0,80.0
013594,南方中债7-10,朱佳,南方,63.73亿元,76.0,100,81.0,81.4,3,3,3,5,5.14%,优秀,5.78%,优秀,11.46%,优秀,17.83%,优秀,21.18%,优秀,---,,65.0,75.0,80.0,90.0,95.0
517180,南方富时中国国企,龚涛,南方,13.63亿元,76.0,54,85.0,79.2,3,3,3,5,-6.05%,不佳,-1.54%,不佳,24.50%,良好,36.39%,优秀,46.90%,优秀,---,,80.0,95.0,80.0,85.0,85.0
