代码,简称,基金经理,基金公司,资产规模,评级评分,涨幅评分,业绩评分,综合评分,上海证券评级,招商证券评级,济安金信评级,晨星评级,近3月涨幅,近3月四分位,近6月涨幅,近6月四分位,近1年涨幅,近1年四分位,近2年涨幅,近2年四分位,近3年涨幅,近3年四分位,近5年涨幅,近5年四分位,选证能力,收益率,抗风险,稳定性,管理规模
005862,华夏鼎禄三个月定,孙蕾,华夏,51.06亿元,76.0,96,73.5,76.5,3,5,5,3,2.69%,优秀,2.79%,良好,6.36%,优秀,12.37%,优秀,14.92%,优秀,25.46%,优秀,70.0,85.0,70.0,70.0,90.0
007677,蜂巢添汇纯债C,廖新昌,蜂巢,13.90亿元,76.0,76,74.5,75.1,5,3,5,3,1.97%,良好,1.38%,不佳,6.02%,优秀,16.41%,优秀,21.32%,优秀,29.46%,优秀,80.0,90.0,70.0,70.0,85.0
008503,国寿安保泰瑞纯债,陶尹斌,国寿安保,62.87亿元,76.0,86,71.0,74.0,3,5,5,3,2.50%,优秀,1.91%,一般,4.87%,良好,11.47%,优秀,13.79%,优秀,25.44%,优秀,50.0,80.0,70.0,70.0,90.0
003448,招商招华纯债A,夏里鹏,招商,11.81亿元,92.0,100,80.0,85.6,4,5,4,5,2.64%,优秀,3.27%,优秀,5.82%,优秀,10.78%,优秀,13.32%,优秀,23.41%,优秀,80.0,85.0,80.0,75.0,80.0
000122,汇添富实业债债券,徐一恒,汇添富,25.43亿元,72.0,98,65.5,70.69999999999999,3,2,3,5,4.70%,优秀,8.54%,优秀,10.37%,优秀,12.59%,优秀,15.54%,优秀,21.13%,良好,85.0,95.0,55.0,60.0,85.0
020002,国泰金龙债券A,茅利伟,国泰,3.61亿元,76.0,90,71.5,74.7,3,3,3,5,3.76%,优秀,8.94%,优秀,10.47%,优秀,10.67%,优秀,10.99%,优秀,8.24%,不佳,90.0,100.0,65.0,65.0,70.0
164808,工银四季收益债券,何秀红,工银,14.48亿元,76.0,80,76.0,76.4,5,4,4,3,2.26%,良好,2.92%,良好,5.90%,良好,8.10%,良好,9.41%,良好,21.12%,良好,80.0,80.0,75.0,70.0,80.0
485111,工银瑞信双利债券,欧阳凯,工银,51.90亿元,80.0,50,73.0,72.8,3,3,4,5,0.65%,一般,2.42%,一般,5.93%,一般,5.09%,良好,7.83%,优秀,17.58%,良好,75.0,80.0,70.0,65.0,90.0
110008,易方达稳健收益债,胡剑,易方达,259.50亿元,80.0,100,69.5,75.69999999999999,3,5,4,4,2.45%,优秀,6.46%,优秀,10.17%,优秀,7.95%,优秀,7.71%,优秀,25.00%,优秀,80.0,95.0,60.0,60.0,100.0
360008,光大增利收益债券,黄波,光大保德信,34.23亿元,80.0,100,68.0,74.8,3,4,3,5,4.50%,优秀,12.47%,优秀,11.28%,优秀,10.83%,优秀,13.49%,优秀,35.05%,优秀,80.0,95.0,60.0,60.0,85.0
000123,汇添富实业债债券,徐一恒,汇添富,3.25亿元,76.0,90,64.0,70.2,3,3,3,5,4.59%,优秀,8.32%,优秀,9.94%,优秀,11.72%,优秀,14.21%,优秀,18.73%,一般,85.0,95.0,55.0,60.0,70.0
070025,嘉实信用债券A,王立芹,嘉实,28.15亿元,84.00000000000001,50,72.0,73.4,4,4,5,4,1.88%,良好,2.23%,良好,4.44%,一般,9.37%,良好,11.56%,优秀,17.45%,一般,70.0,75.0,70.0,70.0,85.0
217003,招商安泰债券A,刘万锋,招商,4.46亿元,84.00000000000001,92,78.5,81.50000000000001,4,5,4,4,2.15%,优秀,2.49%,优秀,4.93%,良好,10.01%,优秀,11.78%,良好,22.52%,优秀,75.0,80.0,80.0,75.0,75.0
519669,银河领先债券A,蒋磊,银河,1.36亿元,80.0,96,74.5,78.29999999999998,5,4,3,4,2.14%,良好,5.86%,优秀,9.86%,优秀,10.90%,优秀,12.85%,优秀,22.73%,优秀,90.0,95.0,70.0,70.0,70.0
000205,易方达投资级信用,王晓晨,易方达,33.19亿元,84.00000000000001,24,79.5,75.30000000000001,5,4,4,4,0.76%,不佳,1.03%,不佳,3.92%,一般,9.38%,良好,11.40%,良好,19.18%,良好,75.0,75.0,80.0,80.0,85.0
380005,中银纯债债券A,林炎滨,中银,32.98亿元,88.00000000000001,100,73.5,80.5,4,4,4,5,2.71%,优秀,2.76%,优秀,6.62%,优秀,13.26%,优秀,13.64%,优秀,22.35%,优秀,70.0,90.0,70.0,70.0,85.0
161908,万家添利债券(L,陈佳昀,万家,1.93亿元,80.0,88,63.0,70.6,3,3,4,5,3.91%,优秀,7.34%,优秀,11.21%,优秀,6.94%,一般,9.65%,良好,31.15%,优秀,85.0,90.0,55.0,55.0,70.0
000497,财通纯债债券A,张婉玉,财通,10.01亿元,80.0,20,81.0,74.6,3,5,4,4,0.94%,不佳,1.20%,不佳,4.10%,一般,10.85%,优秀,12.66%,优秀,12.24%,不佳,95.0,75.0,80.0,80.0,80.0
162716,广发聚源债券(L,吴迪,广发,3.92亿元,84.00000000000001,98,75.5,80.3,4,3,4,5,2.51%,优秀,3.43%,优秀,6.84%,优秀,10.85%,优秀,13.74%,优秀,20.14%,良好,70.0,90.0,75.0,70.0,75.0
000402,工银纯债债券A,谷衡,工银,75.53亿元,84.00000000000001,54,80.5,78.9,5,4,4,4,1.47%,一般,1.97%,良好,4.09%,一般,9.15%,良好,11.60%,良好,21.90%,优秀,80.0,75.0,80.0,80.0,90.0
000973,新华增盈回报债券,王丹,新华,5.23亿元,76.0,100,67.5,73.3,3,3,3,5,2.74%,优秀,9.80%,优秀,12.80%,优秀,11.34%,优秀,9.91%,优秀,25.81%,优秀,80.0,100.0,60.0,60.0,75.0
000668,国寿安保尊享债券,高鑫,国寿安保,4.85亿元,88.00000000000001,100,73.0,80.2,4,4,4,5,3.89%,优秀,5.67%,优秀,9.27%,优秀,11.85%,优秀,14.14%,优秀,22.44%,优秀,80.0,90.0,70.0,65.0,75.0
001776,中欧兴利债券A,苏佳,中欧,40.82亿元,84.00000000000001,82,76.5,79.3,4,4,5,4,1.70%,良好,1.84%,一般,4.73%,良好,10.59%,优秀,12.35%,优秀,23.55%,优秀,75.0,80.0,75.0,75.0,85.0
000182,景顺长城四季金利,彭成军,景顺长城,3.00亿元,80.0,88,72.5,76.3,4,3,5,4,2.71%,优秀,4.21%,良好,6.78%,良好,11.44%,优秀,12.22%,优秀,16.46%,良好,80.0,85.0,70.0,70.0,70.0
360009,光大增利收益债券,黄波,光大保德信,6.52亿元,76.0,100,67.0,73.0,3,3,3,5,4.42%,优秀,12.25%,优秀,10.86%,优秀,9.96%,优秀,12.25%,优秀,32.63%,优秀,80.0,95.0,60.0,60.0,75.0
121012,国投瑞银优化增强,杨枫,国投瑞银,66.75亿元,80.0,52,67.5,69.7,3,4,5,4,1.27%,一般,3.03%,一般,6.13%,一般,6.09%,良好,6.72%,优秀,26.24%,优秀,80.0,80.0,60.0,65.0,90.0
450018,国富恒久信用债券,刘怡敏,国海,0.03亿元,68.0,64,68.0,67.6,3,3,1,5,3.03%,优秀,4.70%,优秀,6.04%,良好,6.13%,不佳,8.86%,一般,14.76%,不佳,80.0,80.0,65.0,65.0,65.0
002438,创金合信尊盛纯债,郑振源,创金合信,10.04亿元,84.00000000000001,42,78.5,76.50000000000001,5,4,4,4,1.08%,不佳,1.57%,一般,4.38%,一般,9.78%,优秀,12.35%,优秀,21.54%,优秀,70.0,80.0,80.0,75.0,80.0
020012,国泰金龙债券C,茅利伟,国泰,1.72亿元,72.0,88,70.0,72.39999999999999,3,2,3,5,3.70%,优秀,8.82%,优秀,10.23%,优秀,10.01%,优秀,10.01%,良好,6.61%,不佳,85.0,95.0,65.0,65.0,65.0
002344,融通增益债券C,王超,融通,1.53亿元,80.0,20,77.0,72.19999999999999,5,3,4,4,0.51%,不佳,0.64%,不佳,2.06%,不佳,6.00%,不佳,14.23%,优秀,29.99%,优秀,70.0,60.0,80.0,85.0,75.0
002362,国富恒瑞债券C,赵晓东,国海,6.78亿元,80.0,86,67.5,73.1,4,3,3,5,1.09%,一般,7.21%,优秀,8.29%,良好,7.18%,优秀,8.50%,优秀,24.43%,优秀,85.0,95.0,60.0,60.0,75.0
002882,中加丰润纯债债券,张楠,中加,13.25亿元,80.0,34,68.0,68.2,4,3,5,4,1.88%,良好,0.81%,不佳,3.58%,不佳,8.85%,良好,12.30%,优秀,18.62%,一般,65.0,70.0,65.0,70.0,85.0
002354,博时裕腾纯债债券,李秋实,博时,6.55亿元,80.0,100,78.0,80.8,5,4,3,4,2.57%,优秀,3.30%,优秀,6.26%,优秀,10.37%,优秀,12.76%,优秀,22.97%,优秀,70.0,85.0,80.0,70.0,75.0
002065,景顺长城景盛双息,李怡文,景顺长城,78.35亿元,80.0,62,69.5,71.89999999999999,4,2,4,5,0.09%,不佳,1.89%,一般,9.66%,优秀,9.24%,优秀,12.37%,优秀,14.33%,一般,80.0,95.0,60.0,60.0,100.0
163007,长信利众债券(L,刘婧,长信,5.23亿元,76.0,52,71.0,70.60000000000001,4,5,4,3,2.10%,良好,1.84%,一般,4.40%,一般,8.44%,良好,9.95%,良好,22.79%,良好,70.0,75.0,70.0,70.0,75.0
519762,交银裕通纯债债券,于海颖,交银,24.39亿元,84.00000000000001,82,72.5,76.9,4,4,5,4,1.94%,良好,1.71%,一般,4.70%,良好,12.11%,优秀,13.02%,优秀,21.54%,优秀,70.0,80.0,70.0,70.0,85.0
002361,国富恒瑞债券A,赵晓东,国海,47.28亿元,80.0,86,69.0,74.0,4,3,3,5,1.23%,一般,7.49%,优秀,8.81%,良好,8.15%,优秀,9.92%,优秀,27.09%,优秀,85.0,95.0,60.0,60.0,90.0
002066,景顺长城景盛双息,李怡文,景顺长城,2.84亿元,84.00000000000001,62,67.0,71.60000000000001,4,3,4,5,0.00%,不佳,1.67%,一般,9.26%,优秀,8.29%,优秀,10.95%,优秀,12.04%,一般,80.0,90.0,60.0,60.0,80.0
003218,前海开源祥和债券,章俊,前海开源,9.30亿元,80.0,100,68.0,74.8,3,4,5,4,5.95%,优秀,7.92%,优秀,9.70%,优秀,18.07%,优秀,10.74%,优秀,34.84%,优秀,80.0,95.0,60.0,65.0,80.0
002474,中邮睿信增强债,闫宜乘,中邮,21.74亿元,84.00000000000001,100,64.5,73.9,4,3,4,5,3.96%,优秀,8.43%,优秀,17.06%,优秀,12.79%,优秀,14.36%,优秀,27.40%,优秀,80.0,100.0,55.0,55.0,80.0
002206,博时裕康纯债债券,王帅,博时,6.35亿元,80.0,84,75.5,77.7,5,4,3,4,2.12%,良好,2.41%,良好,5.12%,良好,10.81%,优秀,12.33%,优秀,18.84%,良好,75.0,80.0,75.0,75.0,75.0
003265,招商招坤纯债A,郭敏,招商,26.22亿元,80.0,86,73.5,76.69999999999999,3,4,5,4,2.10%,良好,2.20%,良好,4.64%,良好,10.04%,优秀,12.39%,优秀,22.47%,优秀,75.0,80.0,70.0,75.0,85.0
002997,工银瑞享纯债债券,何秀红,工银,1.08亿元,84.00000000000001,90,78.5,81.30000000000001,5,4,4,4,2.37%,良好,3.11%,良好,6.42%,优秀,10.26%,优秀,12.07%,优秀,20.35%,良好,80.0,85.0,80.0,70.0,70.0
003671,兴业裕恒债券A,腊博,兴业,55.86亿元,84.00000000000001,98,73.5,79.10000000000001,4,3,4,5,2.40%,优秀,2.54%,优秀,5.59%,优秀,11.40%,优秀,13.43%,优秀,20.32%,良好,70.0,85.0,70.0,70.0,90.0
003795,方正富邦睿利纯债,区德成,方正富邦,5.56亿元,88.00000000000001,100,73.0,80.2,4,4,4,5,3.01%,优秀,4.08%,优秀,7.12%,优秀,11.35%,优秀,13.86%,优秀,21.87%,优秀,75.0,90.0,70.0,70.0,75.0
003979,中信建投稳祥C,许健,中信建投,5.83亿元,80.0,84,72.5,75.9,5,3,4,4,2.05%,良好,2.36%,良好,4.94%,良好,10.95%,优秀,12.09%,优秀,20.81%,良好,70.0,80.0,70.0,75.0,80.0
004118,博时裕鹏纯债债券,王帅,博时,11.10亿元,84.00000000000001,54,78.5,77.70000000000002,4,5,4,4,1.61%,一般,1.96%,良好,4.03%,一般,8.64%,良好,11.37%,良好,21.96%,优秀,70.0,75.0,80.0,80.0,80.0
003637,安信永鑫增强债券,李君,安信,15.49亿元,84.00000000000001,54,70.0,72.60000000000001,4,3,4,5,0.69%,一般,3.38%,良好,5.52%,一般,5.42%,良好,7.91%,优秀,16.75%,良好,90.0,75.0,65.0,65.0,80.0
004140,兴业福鑫债券,伍方方,兴业,78.85亿元,88.00000000000001,100,73.5,80.5,4,4,4,5,2.37%,优秀,2.50%,优秀,5.71%,优秀,10.98%,优秀,12.82%,优秀,21.52%,优秀,70.0,85.0,70.0,70.0,90.0
000191,富国信用债债券A,黄纪亮,富国,128.97亿元,76.0,50,78.5,74.9,5,4,4,3,1.52%,一般,1.67%,一般,4.22%,一般,9.30%,良好,10.99%,良好,20.71%,优秀,80.0,75.0,75.0,80.0,100.0
000130,大成景兴信用债债,孙丹,大成,1.74亿元,76.0,92,79.5,79.7,5,4,4,3,2.08%,良好,3.46%,优秀,6.96%,优秀,9.28%,良好,10.28%,良好,24.56%,优秀,85.0,90.0,80.0,70.0,70.0
004729,中欧瑾泰债券C,周锦程,中欧,0.50亿元,76.0,100,72.0,76.0,3,3,3,5,3.54%,优秀,3.86%,优秀,7.60%,优秀,11.03%,优秀,14.26%,优秀,20.88%,优秀,70.0,90.0,70.0,70.0,70.0
004601,博时富腾纯债债券,郭思洁,博时,8.64亿元,84.00000000000001,86,80.0,81.8,4,5,4,4,1.70%,良好,2.33%,良好,5.04%,良好,10.28%,优秀,12.50%,优秀,22.37%,优秀,85.0,80.0,80.0,80.0,75.0
003071,国联睿祥纯债A,王玥,国联,52.57亿元,80.0,44,70.0,70.4,3,4,5,4,1.71%,良好,0.79%,不佳,3.58%,不佳,10.15%,优秀,11.67%,良好,20.61%,优秀,70.0,75.0,65.0,70.0,95.0
002277,中邮纯债恒利债券,武志骁,中邮,1.77亿元,84.00000000000001,100,66.5,75.1,4,3,4,5,3.98%,优秀,5.54%,优秀,10.71%,优秀,10.89%,优秀,12.38%,优秀,29.41%,优秀,85.0,90.0,60.0,60.0,70.0
004246,德邦锐乾债券A,张铮烁,德邦,0.61亿元,80.0,100,79.0,81.4,3,4,3,5,3.95%,优秀,4.26%,优秀,6.63%,优秀,10.95%,优秀,13.40%,优秀,22.37%,优秀,85.0,85.0,80.0,70.0,70.0
002276,中邮纯债恒利债券,武志骁,中邮,19.16亿元,88.00000000000001,100,68.0,77.2,4,4,4,5,3.99%,优秀,5.69%,优秀,10.97%,优秀,11.52%,优秀,13.29%,优秀,31.19%,优秀,85.0,95.0,60.0,60.0,80.0
004728,中欧瑾泰债券A,周锦程,中欧,38.15亿元,80.0,100,74.0,78.4,4,3,3,5,3.57%,优秀,3.95%,优秀,7.74%,优秀,11.28%,优秀,14.32%,优秀,21.40%,优秀,70.0,95.0,70.0,70.0,85.0
003999,富荣富祥纯债A,宋芳,富荣,3.11亿元,80.0,96,72.0,76.79999999999998,4,3,5,4,2.44%,优秀,2.10%,良好,5.56%,优秀,9.75%,优秀,12.45%,优秀,21.23%,优秀,70.0,85.0,70.0,70.0,75.0
003657,民生加银鑫元纯债,裴禹翔,民生,3.36亿元,80.0,86,71.0,75.19999999999999,4,3,3,5,1.96%,良好,2.30%,良好,4.83%,良好,17.34%,优秀,19.21%,优秀,40.84%,优秀,65.0,80.0,70.0,70.0,75.0
000606,天弘优选债券A,刘洋,天弘,209.25亿元,84.00000000000001,100,79.5,82.9,5,4,4,4,3.42%,优秀,4.16%,优秀,9.27%,优秀,13.24%,优秀,15.15%,优秀,23.60%,优秀,80.0,95.0,75.0,70.0,100.0
002486,上银慧添利债券,蔡唯峰,上银,31.81亿元,84.00000000000001,78,77.0,79.2,4,5,4,4,1.24%,一般,1.56%,一般,4.43%,良好,9.89%,优秀,12.20%,优秀,23.00%,优秀,80.0,80.0,75.0,75.0,85.0
005159,华泰保兴尊合债券,张挺,华泰保兴,55.31亿元,84.00000000000001,100,76.0,80.80000000000001,4,4,3,5,3.25%,优秀,4.65%,优秀,8.49%,优秀,11.93%,优秀,13.10%,优秀,24.06%,优秀,85.0,95.0,70.0,70.0,90.0
004705,南方祥元债券A,黄斌斌,南方,43.66亿元,84.00000000000001,78,76.5,78.89999999999999,5,4,4,4,1.69%,一般,2.15%,良好,4.93%,良好,9.67%,良好,11.74%,良好,22.31%,优秀,75.0,80.0,75.0,75.0,85.0
005193,北信瑞丰鼎利债券,于军华,北信,0.04亿元,80.0,90,62.5,70.5,3,3,4,5,2.93%,优秀,11.16%,优秀,12.09%,优秀,10.40%,优秀,11.50%,优秀,15.88%,一般,90.0,85.0,55.0,55.0,65.0
005160,华泰保兴尊合债券,张挺,华泰保兴,11.66亿元,80.0,100,75.0,79.0,4,3,3,5,3.20%,优秀,4.54%,优秀,8.27%,优秀,11.47%,优秀,12.41%,优秀,22.82%,优秀,85.0,95.0,70.0,70.0,80.0
006237,永赢嘉益债券,郭画,永赢,10.95亿元,84.00000000000001,100,77.0,81.4,4,4,3,5,3.19%,优秀,4.03%,优秀,6.86%,优秀,11.27%,优秀,13.51%,优秀,21.52%,优秀,80.0,90.0,75.0,70.0,80.0
005754,平安短债A,欧阳亮,平安,35.32亿元,76.0,36,80.0,74.39999999999999,4,4,5,3,0.72%,一般,0.85%,不佳,2.56%,一般,6.63%,良好,8.93%,良好,16.02%,良好,80.0,65.0,80.0,85.0,90.0
675161,西部利得汇盈债券,易圣倩,西部利得,20.30亿元,84.00000000000001,78,74.0,77.39999999999999,4,4,5,4,1.62%,一般,1.66%,一般,4.39%,良好,10.09%,优秀,12.43%,优秀,24.48%,优秀,80.0,80.0,70.0,75.0,85.0
005908,华泰保兴尊利债券,张挺,华泰保兴,50.07亿元,84.00000000000001,100,70.0,77.2,4,3,4,5,3.92%,优秀,7.49%,优秀,15.25%,优秀,14.52%,优秀,14.03%,优秀,30.63%,优秀,90.0,100.0,60.0,60.0,90.0
675163,西部利得汇盈债券,易圣倩,西部利得,10.13亿元,80.0,54,72.5,72.9,4,3,5,4,1.60%,一般,1.61%,一般,4.27%,一般,9.86%,优秀,12.06%,优秀,23.85%,优秀,75.0,75.0,70.0,75.0,80.0
005996,国投瑞银顺昌纯债,王侃,国投瑞银,16.35亿元,80.0,52,76.5,75.10000000000001,4,5,3,4,1.23%,一般,1.49%,一般,3.62%,一般,10.52%,优秀,12.16%,优秀,18.64%,良好,80.0,70.0,75.0,80.0,85.0
006184,格林泓鑫纯债A,尹子昕,格林,2.10亿元,84.00000000000001,40,78.5,76.30000000000001,5,4,4,4,1.19%,一般,1.23%,不佳,3.67%,一般,10.53%,优秀,11.84%,良好,22.19%,优秀,75.0,75.0,80.0,80.0,75.0
006177,中信保诚稳达A,顾飞辰,中信保诚,0.80亿元,84.00000000000001,100,68.0,76.0,4,3,4,5,3.60%,优秀,3.02%,优秀,6.93%,优秀,11.78%,优秀,14.20%,优秀,22.27%,优秀,60.0,90.0,65.0,70.0,70.0
004101,国泰民安增益纯债,李铭一,国泰,7.85亿元,76.0,100,72.5,76.3,3,3,3,5,3.09%,优秀,3.64%,优秀,6.69%,优秀,11.73%,优秀,13.72%,优秀,21.44%,优秀,65.0,90.0,70.0,70.0,80.0
006191,华夏鼎通债券A,吴彬,华夏,121.91亿元,88.00000000000001,100,75.0,81.4,4,4,4,5,2.91%,优秀,3.42%,优秀,6.92%,优秀,11.22%,优秀,13.24%,优秀,23.60%,优秀,70.0,90.0,70.0,70.0,100.0
005419,中欧聚瑞债券A,周锦程,中欧,29.63亿元,80.0,40,76.0,73.6,5,4,3,4,1.64%,一般,1.84%,一般,4.71%,一般,8.53%,良好,10.57%,良好,16.46%,一般,70.0,80.0,75.0,75.0,85.0
040023,华安可转债债券B,周益鸣,华安,41.91亿元,76.0,88,61.5,68.5,2,3,4,5,3.91%,优秀,14.13%,优秀,16.23%,优秀,4.03%,一般,5.77%,良好,43.54%,优秀,90.0,95.0,50.0,50.0,80.0
006874,创金合信恒兴中短,谢创,创金合信,21.51亿元,84.00000000000001,100,80.0,83.2,5,4,4,4,1.14%,优秀,1.37%,优秀,3.17%,优秀,7.10%,优秀,9.50%,优秀,19.56%,优秀,80.0,70.0,80.0,85.0,85.0
006411,中加颐智纯债债券,石玲玲,中加,10.06亿元,80.0,44,76.0,74.0,4,5,3,4,1.84%,良好,1.68%,一般,3.96%,一般,9.50%,良好,11.23%,良好,17.83%,一般,80.0,75.0,75.0,75.0,80.0
005513,南华瑞恒中短债债,沈致远,南华,9.51亿元,55.99999999999999,90,90.0,79.8,2,1,1,5,0.76%,一般,1.40%,优秀,3.43%,优秀,6.52%,良好,51.56%,优秀,50.38%,优秀,95.0,70.0,95.0,85.0,80.0
006725,国泰丰盈纯债债券,李铭一,国泰,7.34亿元,88.00000000000001,100,72.5,79.9,4,4,4,5,3.78%,优秀,4.35%,优秀,7.33%,优秀,14.37%,优秀,15.76%,优秀,24.91%,优秀,70.0,95.0,70.0,65.0,75.0
006576,永赢诚益债券A,牟琼屿,永赢,10.84亿元,84.00000000000001,54,76.0,76.20000000000002,4,5,4,4,1.64%,一般,1.91%,良好,4.26%,一般,8.54%,良好,11.47%,良好,21.46%,优秀,75.0,75.0,75.0,80.0,80.0
006304,中加颐鑫纯债债券,张楠,中加,20.63亿元,80.0,100,80.0,82.0,5,4,3,4,1.61%,优秀,1.90%,优秀,4.82%,优秀,9.83%,优秀,11.58%,优秀,18.27%,优秀,80.0,80.0,80.0,80.0,80.0
005514,南华瑞恒中短债债,沈致远,南华,1.93亿元,64.0,82,89.0,80.8,2,3,1,5,0.68%,一般,1.23%,优秀,3.11%,优秀,5.93%,一般,50.39%,优秀,49.83%,优秀,90.0,70.0,95.0,85.0,75.0
006853,中银汇享债券,周毅,中银,40.51亿元,88.00000000000001,96,70.5,78.30000000000001,4,4,4,5,2.43%,优秀,2.12%,良好,5.96%,优秀,11.91%,优秀,14.11%,优秀,21.52%,优秀,70.0,85.0,65.0,70.0,90.0
007279,永赢众利债券A,杨野,永赢,119.74亿元,84.00000000000001,100,75.5,80.5,5,4,4,4,3.05%,优秀,3.96%,优秀,7.80%,优秀,12.53%,优秀,15.39%,优秀,23.41%,优秀,70.0,95.0,70.0,70.0,100.0
007888,农银金盈债券A,郭振宇,农银,72.32亿元,88.00000000000001,100,73.0,80.2,4,4,4,5,2.30%,优秀,2.47%,优秀,5.63%,优秀,10.69%,优秀,12.99%,优秀,24.62%,优秀,60.0,85.0,70.0,70.0,95.0
007263,东方红聚利债券C,孔令超,上海东方,4.95亿元,76.0,80,63.0,68.6,3,3,3,5,3.72%,优秀,9.50%,优秀,10.80%,优秀,5.13%,不佳,6.08%,不佳,26.95%,优秀,85.0,85.0,55.0,55.0,75.0
007616,富国投资级信用债,朱梦娜,富国,43.90亿元,84.00000000000001,72,78.0,79.2,5,4,4,4,1.57%,一般,1.75%,一般,4.45%,良好,9.31%,良好,11.37%,良好,20.19%,良好,80.0,80.0,75.0,80.0,90.0
007214,国泰惠丰纯债债券,李铭一,国泰,24.49亿元,80.0,100,70.0,76.0,4,3,3,5,6.26%,优秀,5.96%,优秀,11.30%,优秀,18.56%,优秀,19.46%,优秀,27.01%,优秀,60.0,100.0,65.0,65.0,85.0
007262,东方红聚利债券A,孔令超,上海东方,18.39亿元,76.0,80,64.0,69.2,3,3,3,5,3.82%,优秀,9.73%,优秀,11.24%,优秀,5.98%,不佳,7.36%,一般,29.53%,优秀,85.0,90.0,55.0,55.0,80.0
006332,招商金鸿债券A,黄晓婷,招商,0.19亿元,80.0,32,79.0,74.60000000000001,4,5,3,4,1.49%,一般,1.83%,一般,4.03%,一般,8.23%,一般,10.21%,一般,19.55%,良好,85.0,75.0,80.0,80.0,70.0
008765,中加瑞享纯债债券,魏泰源,中加,20.38亿元,80.0,30,76.5,72.9,3,5,4,4,1.11%,不佳,1.07%,不佳,3.90%,一般,10.50%,优秀,12.19%,优秀,---,,85.0,75.0,75.0,75.0,80.0
007337,汇安嘉盛纯债债券,金鸿峰,汇安,0.00亿元,80.0,30,81.0,75.6,5,3,4,4,1.06%,不佳,1.48%,一般,3.70%,一般,9.20%,良好,12.89%,优秀,13.57%,不佳,80.0,75.0,85.0,85.0,60.0
008040,鹏华0-5年利率,叶朝明,鹏华,105.61亿元,84.00000000000001,100,80.5,83.5,5,4,4,4,2.47%,优秀,2.82%,优秀,6.00%,优秀,10.11%,优秀,13.51%,优秀,21.00%,优秀,70.0,85.0,80.0,70.0,100.0
900039,中信证券六个月滚,李天颖,中信证券资产管理,0.00亿元,80.0,92,78.5,80.3,3,3,4,5,0.89%,良好,1.05%,良好,4.05%,优秀,8.67%,优秀,11.06%,优秀,19.17%,优秀,80.0,75.0,80.0,80.0,70.0
007612,汇安裕和纯债债券,王作舟,汇安,0.00亿元,80.0,48,75.0,73.8,4,3,5,4,1.28%,一般,1.48%,一般,3.90%,一般,9.27%,良好,11.52%,良好,---,,85.0,75.0,75.0,80.0,60.0
008571,金信民达纯债A,杨杰,金信,0.63亿元,80.0,97,69.0,75.10000000000001,4,3,3,5,5.05%,优秀,7.08%,优秀,7.13%,优秀,9.42%,良好,12.86%,优秀,---,,80.0,85.0,65.0,65.0,70.0
007738,淳厚稳惠债券A,张蕊,淳厚,5.67亿元,80.0,84,72.5,75.9,5,4,3,4,2.10%,良好,2.53%,良好,5.78%,良好,9.53%,优秀,11.72%,优秀,19.34%,良好,75.0,85.0,70.0,70.0,75.0
008572,金信民达纯债C,杨杰,金信,0.12亿元,80.0,97,69.0,75.10000000000001,4,3,3,5,4.98%,优秀,6.96%,优秀,6.90%,优秀,8.98%,良好,12.18%,优秀,---,,80.0,85.0,65.0,65.0,70.0
007901,汇添富中短债A,徐光,汇添富,100.23亿元,80.0,84,81.0,81.0,4,3,3,5,0.76%,一般,0.94%,一般,3.67%,优秀,7.48%,优秀,10.34%,优秀,---,,75.0,75.0,80.0,80.0,100.0
009580,招商双债增强债券,刘万锋,招商,1.78亿元,80.0,86,75.5,77.89999999999999,3,3,4,5,2.11%,良好,2.35%,良好,4.88%,良好,10.94%,优秀,12.66%,优秀,---,,75.0,80.0,75.0,75.0,75.0
008686,大成景优中短债A,冯佳,大成,75.03亿元,68.0,100,77.0,76.6,1,3,3,5,2.20%,优秀,2.34%,优秀,5.21%,优秀,8.79%,优秀,10.53%,优秀,---,,70.0,80.0,75.0,75.0,95.0
008687,大成景优中短债C,冯佳,大成,2.87亿元,68.0,100,74.0,74.8,1,3,3,5,2.17%,优秀,2.28%,优秀,5.09%,优秀,8.56%,优秀,10.17%,优秀,---,,65.0,80.0,75.0,75.0,70.0
009350,前海联合添泽债券,孙连玉,前海联合,0.02亿元,80.0,100,67.5,74.5,4,3,3,5,5.52%,优秀,9.07%,优秀,11.25%,优秀,13.23%,优秀,15.25%,优秀,---,,85.0,100.0,60.0,65.0,65.0
008999,景顺景颐嘉利6个,董晗,景顺长城,19.01亿元,84.00000000000001,73,68.0,73.3,4,3,4,5,0.56%,不佳,4.60%,良好,9.24%,优秀,6.61%,良好,8.34%,优秀,---,,90.0,90.0,60.0,60.0,80.0
009534,南方升元中短期利,王景明,南方,3.27亿元,76.0,100,76.0,78.4,4,2,3,5,2.04%,优秀,2.25%,优秀,4.50%,优秀,7.60%,优秀,9.80%,优秀,---,,75.0,80.0,75.0,75.0,80.0
009495,大成景轩中高等级,冯佳,大成,60.79亿元,80.0,90,74.0,77.4,5,3,4,4,2.26%,优秀,1.93%,良好,5.68%,优秀,9.42%,良好,10.88%,良好,---,,75.0,85.0,70.0,70.0,90.0
