代码,简称,基金经理,基金公司,资产规模,评级评分,涨幅评分,业绩评分,综合评分,上海证券评级,招商证券评级,济安金信评级,晨星评级,近3月涨幅,近3月四分位,近6月涨幅,近6月四分位,近1年涨幅,近1年四分位,近2年涨幅,近2年四分位,近3年涨幅,近3年四分位,近5年涨幅,近5年四分位,选证能力,收益率,抗风险,稳定性,管理规模
007212,山西证券裕泰3个,蓝烨,山西证券,12.81亿元,76.0,74,70.5,72.5,3,5,5,3,2.08%,优秀,1.10%,不佳,4.78%,良好,13.23%,优秀,17.16%,优秀,27.33%,优秀,55.0,80.0,70.0,70.0,80.0
007008,中邮纯债优选一年,闫宜乘,中邮,6.58亿元,76.0,86,67.5,71.89999999999999,3,5,5,3,2.64%,优秀,1.97%,一般,5.38%,良好,12.96%,优秀,14.36%,优秀,24.61%,优秀,0.0,80.0,75.0,70.0,75.0
007145,泰康安和纯债6个,经惠云,泰康,33.22亿元,76.0,92,74.5,76.7,3,5,5,3,1.86%,良好,2.10%,良好,5.53%,优秀,11.55%,优秀,13.29%,优秀,23.12%,优秀,50.0,85.0,75.0,75.0,85.0
007175,国联聚通定期开放,王玥,国联,6.90亿元,76.0,92,77.0,78.2,3,5,5,3,1.71%,良好,1.91%,良好,5.86%,优秀,11.93%,优秀,14.44%,优秀,24.15%,优秀,85.0,85.0,75.0,75.0,75.0
007529,嘉实汇鑫中短债A,王立芹,嘉实,148.33亿元,88.00000000000001,98,81.0,84.8,3,4,5,5,0.99%,优秀,1.30%,优秀,3.35%,优秀,8.34%,优秀,11.11%,优秀,15.04%,良好,80.0,70.0,80.0,80.0,100.0
006032,创金合信汇泽三个,郑振源,创金合信,15.94亿元,76.0,78,79.0,78.0,3,5,5,3,1.48%,一般,1.97%,一般,4.55%,良好,9.95%,优秀,13.29%,优秀,22.18%,优秀,75.0,75.0,80.0,80.0,80.0
007492,上银政策性金融债,陈芳菲,上银,102.18亿元,92.0,100,74.0,82.0,5,4,4,5,3.61%,优秀,5.09%,优秀,10.13%,优秀,15.06%,优秀,16.96%,优秀,26.24%,优秀,60.0,100.0,70.0,65.0,95.0
004647,新华鼎利债券A,李晓然,新华,11.05亿元,88.00000000000001,36,76.0,75.6,5,4,5,4,1.33%,良好,1.52%,不佳,4.33%,不佳,7.81%,优秀,11.51%,优秀,11.88%,一般,80.0,75.0,75.0,75.0,80.0
007195,长城短债C,邹德立,长城,44.99亿元,84.00000000000001,96,74.5,79.5,3,3,5,5,1.48%,优秀,1.18%,良好,3.72%,优秀,9.41%,优秀,11.02%,优秀,17.71%,优秀,80.0,75.0,70.0,75.0,95.0
007859,平安5-10年期,刘晓兰,平安,6.64亿元,92.0,100,70.0,79.6,4,4,5,5,6.44%,优秀,6.68%,优秀,10.84%,优秀,16.36%,优秀,18.19%,优秀,29.15%,优秀,70.0,100.0,65.0,65.0,75.0
